merchant_id,t1_num,t2_num,avg_late_fulfillment_days
00053f5e11d1fe4e49a221165b39abc9,2,4,2.4855195911413969,-0.99318568994889267462
00185f45337c418db73f253e8b967c6c,1,2,2.0273972602739726,-1.6164383561643836
001c728a3046207c685f7f478f4bb41b,3,10,3.168504631671813,-0.37847375385972651081
001d507e80c4e4d2ce4ba0a5590f8313,1,1,1.5,-2.5
001d908c7637618bb0a8af0c8be5cd41,1,1,3.5,-0.5
001e1afaa21e768f77f6a83f6279e9f3,1,1,4,1.6
001f35b87b35111bcaf1087426d2884e,1,1,2.0975609756097561,-1.024390243902439
00202c47b1ff31b8145b6502cca710f3,1,3,1.8181818181818182,-1.5454545454545455
00254d816728ef385187c60b08cb5c10,1,4,2.867109634551495,0.44518272425249169435
0025ad7a491d38ca9bb71732255dc01d,1,1,0.84210526315789473684,-2.0526315789473684
00275937100699204a3d5ae3caf7190d,1,1,1.625,-1.5
0028f6e9a0a1804b35c9bc8f953fc573,1,1,5,3
002df12177ee1c5bc256a352bc9af996,1,1,1.2241379310344828,-2.5
00334a9a556424bb119d27905b9383d2,1,1,2.75,-0.5
00381e874067de0a3aa36ab8e86759d2,1,1,6,4
0038c2d25686470c660de62bf5466fe3,2,4,2.3103448275862069,-0.17241379310344827586
003af5a042e00ac9b489153a81d676ca,1,1,1.1040462427745665,-2.4971098265895954
003d2430185bfc2132ebc5c5553d116e,1,1,3,0.2
003f2c1d8362325c09e00ce0a9a6ae19,1,1,1.9797979797979798,-1.696969696969697
004bd77f07742ad928539b001cae96da,1,1,3,0
004dbbb73c0e3933d191fa195500d018,1,1,2.8620689655172414,-0.48275862068965517241
00509e33150cba19d677c83ad03febae,1,1,1.9528301886792453,-2.1981132075471698
0050f1e87cea6c50b311a43b12cea2c8,3,3,1.5217391304347826,-0.86956521739130434783
0055a5709f2388ee34e6a39c4719fccb,1,1,2.625,-0.75
0055ad22950e274e9c78508cf83bb886,1,3,1.6666666666666667,-1.5652173913043478
00575938da3ed66330f3da93ffcc0bd4,2,2,3.2727272727272727,-0.32727272727272727273
0059872d8926933c13bda07eca8409ad,1,2,1.5753715498938429,-1.9745222929936306
005d3d22fd7a12a24a9bf06b7359a027,2,2,3.5833333333333333,0.58333333333333333333
005f441a9cc1899a77591ccf67fd8cf7,1,5,2.1872791519434629,-0.86395759717314487633
005f49f3c5491bc4e33b309d21c05e75,1,1,3,-1
0062a21cb029dd0467fe1e90633e6c87,2,2,1.491725768321513,-2.0047281323877069
0066a9752d9cb8aaa8e517c703c5ad1f,1,1,4,0
0068a01b6545c1e5a4cfef3ad4951a95,3,5,3.2278481012658228,-0.06244725738396624473
006b9646dcba176709eb7a322e61e2b7,1,1,2.6,-1.4
006f52e9102a8d3be2fe5614f42ba989,7,19,2.6999234498596581,-0.24725695330441439143
